,模型答案,真实答案
1,C,AC
2,D,ABD
3,ABCD,ACD
4,C,AC
5,C,BC
6,B,AB
7,A,AB
8,C,BCD
9,C,BC
10,D,AD
11,B,AB
12,B,AB
13,ABCD,ABCD
14,C,ABC
15,A,ABC
16,D,BC
17,C,ABCD
18,D,ABD
19,BCD,ABCD
20,B,BC
21,A,ABD
22,C,BC
23,D,BD
24,D,AC
25,D,ABD
26,C,BCD
27,D,BCD
28,B,ABC
29,D,ABC
30,B,ABCD
31,A,AD
32,C,AC
33,D,AD
34,D,ABD
35,B,AB
36,D,ABC
37,D,ABD
38,D,CD
39,D,ABD
40,C,ABCD
41,B,BD
42,C,CD
43,ABCD,ABD
44,AC,ABC
45,A,ACD
46,D,ACD
47,D,BD
48,ABCD,ABD
49,D,ABD
50,ABCD,ABCD
51,D,ABD
52,D,ACD
53,B,BD
54,ABC,ABC
55,D,ABD
56,D,BCD
57,BC,BCD
58,D,ABCD
59,AC,AC
60,A,AB
61,A,ACD
62,C,ABC
63,D,AD
64,D,ABCD
65,A,AC
66,B,ABD
67,ACD,ABCD
68,D,ABC
69,B,ACD
70,BC,ABC
71,C,BCD
72,D,CD
73,C,ABC
74,D,ABCD
75,A,AC
76,A,AD
77,ABD,BCD
78,C,ABD
79,A,ABC
80,ABD,CD
81,ABCD,ACD
82,A,AC
83,D,ACD
84,D,BCD
85,C,BC
86,BCD,ABC
87,BCD,BCD
88,ABD,BD
89,C,AB
90,B,BC
91,C,ABC
92,B,AB
93,ABCD,BCD
94,D,AD
95,C,BC
96,C,ABC
97,C,BC
98,D,ABCD
99,A,ABD
100,B,AB
101,CD,BCD
102,C,ABCD
103,B,ABC
104,D,CD
105,D,BCD
106,D,AB
107,C,BC
108,D,ACD
109,D,ACD
110,C,BCD
111,ABCD,ABD
112,C,BD
113,D,ABD
114,C,AC
115,B,AB
116,C,ACD
117,B,CD
118,B,AD
119,C,AC
120,C,BC
121,AC,AC
122,ABCD,ABCD
123,D,AD
124,B,AB
125,B,BC
126,C,ABC
127,ABC,ABC
128,C,ABCD
129,C,ABC
130,C,CD
131,A,ABD
132,C,AC
133,C,ABC
134,D,BCD
135,C,CD
136,AB,ABD
137,D,ACD
138,C,ABC
139,D,BC
140,D,ACD
141,D,BD
142,D,BC
143,D,ABD
144,D,BCD
145,ABD,BD
146,CD,BCD
147,CD,BCD
148,ABCD,ABCD
149,C,AB
150,ABD,AD
151,C,ACD
152,ABCD,ABD
153,AC,ABC
154,D,ACD
155,ABC,ABC
156,ACD,ACD
157,D,CD
158,C,ABCD
159,C,AC
160,B,ABC
161,ACD,ABCD
162,D,AD
163,BCD,ABC
164,C,ACD
165,C,AB
166,ABCD,ABD
167,C,ABC
168,D,ABCD
169,BD,BD
170,C,AC
171,D,ABCD
172,D,ABC
173,D,ACD
174,D,AC
175,C,ABC
176,D,ABCD
177,D,ABC
178,C,AC
179,ACD,ABCD
180,ABCD,ABCD
181,ABCD,ABCD
182,A,ABC
183,C,ACD
184,CD,BCD
185,D,CD
186,ABD,BD
187,C,ABC
188,AB,AB
189,B,ABC
190,ABCD,ABCD
191,C,AC
192,C,ACD
193,ABCD,ABCD
194,D,ABC
195,CD,AB
196,D,ABD
197,C,ACD
198,C,BCD
199,A,AB
200,D,CD
201,D,AB
202,C,AC
203,ABCD,ABD
204,D,BD
205,B,BC
206,C,BD
207,ABCD,AC
208,BCD,BC
209,C,AC
210,ABD,ABD
211,D,ABD
212,ABD,AB
213,B,AB
214,D,CD
215,C,CD
216,C,ABC
217,C,BC
218,B,AB
219,C,AC
220,ABC,ABC
221,C,BCD
222,B,BD
223,C,BC
224,BCD,ABCD
225,D,CD
226,D,BD
227,C,BCD
228,B,ABD
229,B,AB
230,C,ABC
231,C,ABC
232,A,AD
233,ABCD,ABD
234,D,AD
235,C,AC
236,D,ABC
237,C,BCD
238,D,AB
239,B,ABD
240,D,CD
241,测评最终结果,共240题，19题完全正确，175题部分正确，46题多选或错选。严格正确率：7.916666666666666%，弹性正确率：39.16666666666664%
