,模型答案,真实答案
1,ABD,BD
2,ABD,ABD
3,ABCD,ABCD
4,ABC,ABC
5,ABC,ABC
6,ABD,ABD
7,ABCD,ABC
8,A,ABC
9,CD,CD
10,ABC,ABC
11,ACD,ACD
12,ABCD,ABCD
13,AC,AC
14,C,ACD
15,ABCD,ABCD
16,ABC,ABC
17,BCD,BCD
18,ACD,ACD
19,AB,ABC
20,ABCD,ABCD
21,CD,CD
22,C,ACD
23,BCD,BCD
24,AC,AC
25,BC,BC
26,B,AB
27,ABCD,AB
28,ABCD,ABCD
29,BCD,BD
30,BCD,BCD
31,AD,AD
32,AD,AD
33,ABCD,ABCD
34,CD,CD
35,ABD,AD
36,D,BD
37,ACD,CD
38,BC,BC
39,D,CD
40,ABCD,ABCD
41,C,AC
42,ABC,ABC
43,ABCD,ACD
44,CD,CD
45,BCD,BC
46,ABD,ABD
47,ABC,ABC
48,ABD,ABD
49,测评最终结果,共48题，32题完全正确，8题部分正确，8题多选或错选。严格正确率：66.66666666666666%，弹性正确率：74.30555555555554%
