,模型答案,真实答案
1,D,D
2,D,C
3,A,B
4,C,B
5,A,A
6,B,A
7,A,B
8,B,B
9,D,D
10,A,A
11,D,D
12,D,D
13,A,B
14,C,C
15,D,D
16,B,D
17,D,D
18,B,B
19,D,A
20,D,B
21,B,B
22,B,B
23,B,B
24,D,C
25,D,C
26,C,A
27,C,C
28,C,B
29,D,C
30,A,A
31,D,D
32,C,D
33,D,B
34,B,B
35,A,D
36,D,D
37,A,A
38,C,C
39,D,B
40,D,B
41,D,A
42,C,C
43,C,C
44,C,C
45,D,B
46,D,C
47,B,B
48,A,C
49,A,A
50,D,A
51,B,B
52,D,B
53,D,B
54,D,C
55,B,B
56,C,B
57,C,B
58,D,D
59,B,D
60,D,A
61,B,B
62,C,C
63,D,D
64,C,C
65,B,B
66,B,B
67,D,B
68,A,A
69,C,C
70,C,C
71,A,C
72,C,B
73,B,B
74,B,C
75,A,A
76,D,A
77,D,D
78,A,A
79,B,C
80,D,B
81,D,A
82,D,D
83,C,A
84,C,D
85,C,C
86,C,D
87,D,B
88,C,B
89,D,B
90,B,B
91,B,B
92,D,C
93,B,C
94,D,C
95,C,C
96,D,D
97,B,D
98,D,D
99,B,D
100,D,A
101,D,B
102,C,C
103,B,D
104,D,D
105,D,B
106,D,A
107,C,C
108,B,C
109,C,A
110,C,C
111,C,D
112,D,D
113,A,B
114,C,A
115,C,B
116,A,A
117,C,D
118,C,A
119,C,B
120,C,C
121,C,C
122,B,B
123,C,D
124,C,D
125,A,A
126,D,B
127,C,C
128,B,B
129,B,B
130,C,B
131,A,A
132,C,C
133,B,B
134,D,D
135,D,D
136,C,C
137,C,C
138,D,A
139,B,A
140,D,D
141,A,A
142,A,C
143,C,C
144,D,C
145,A,A
146,B,B
147,A,A
148,C,D
149,C,C
150,B,B
151,D,A
152,C,D
153,C,C
154,B,A
155,C,C
156,A,A
157,A,B
158,D,C
159,C,C
160,B,B
161,B,D
162,C,B
163,D,D
164,A,A
165,D,D
166,C,C
167,A,A
168,C,B
169,B,B
170,B,B
171,B,B
172,A,B
173,C,C
174,A,D
175,D,A
176,C,D
177,A,A
178,C,B
179,A,A
180,B,B
181,D,A
182,B,B
183,B,B
184,D,D
185,A,C
186,B,D
187,B,B
188,D,D
189,B,C
190,C,C
191,A,A
192,B,D
193,C,A
194,D,D
195,D,A
196,D,D
197,C,C
198,D,C
199,A,A
200,D,D
201,A,A
202,A,B
203,C,C
204,A,A
205,C,C
206,D,A
207,A,A
208,C,C
209,C,C
210,B,A
211,D,D
212,A,A
213,A,A
214,A,A
215,B,B
216,C,C
217,D,D
218,D,B
219,D,D
220,D,D
221,C,C
222,B,B
223,A,B
224,C,C
225,C,B
226,D,B
227,C,C
228,D,B
229,B,C
230,B,B
231,D,C
232,B,B
233,B,D
234,B,B
235,C,A
236,D,C
237,C,B
238,B,B
239,C,D
240,B,B
241,C,C
242,B,D
243,A,A
244,C,C
245,D,C
246,C,C
247,B,B
248,D,D
249,B,B
250,B,B
251,D,D
252,D,D
253,C,C
254,C,B
255,B,A
256,D,D
257,D,D
258,C,C
259,A,C
260,A,A
261,D,D
262,C,C
263,B,B
264,D,A
265,D,D
266,D,D
267,C,C
268,A,A
269,A,A
270,C,B
271,C,C
272,C,C
273,B,A
274,A,A
275,A,D
276,D,D
277,B,B
278,C,C
279,D,D
280,B,B
281,D,D
282,B,C
283,A,B
284,D,B
285,D,B
286,B,B
287,D,D
288,D,D
289,D,C
290,B,B
291,B,D
292,C,C
293,D,D
294,C,C
295,D,C
296,D,D
297,C,D
298,B,B
299,D,A
300,D,A
301,D,D
302,B,B
303,D,D
304,B,B
305,A,B
306,C,B
307,C,C
308,B,B
309,C,D
310,B,B
311,D,D
312,B,B
313,A,D
314,B,B
315,C,C
316,B,B
317,C,C
318,D,D
319,D,B
320,D,D
321,C,B
322,A,B
323,B,B
324,A,B
325,C,D
326,B,B
327,C,A
328,B,C
329,D,D
330,A,A
331,C,B
332,D,B
333,A,C
334,C,C
335,D,C
336,B,B
337,B,B
338,A,D
339,A,D
340,B,B
341,B,B
342,C,D
343,B,B
344,B,B
345,C,C
346,D,C
347,B,C
348,D,B
349,C,C
350,B,C
351,D,B
352,D,C
353,D,D
354,A,C
355,B,A
356,C,C
357,B,D
358,D,D
359,A,A
360,B,B
361,测评最终结果,共360题，205题正确，155题错误。正确率：56.94444444444444%
